,title,rating,no_of_ratings,url,difficulty,prep_time,cook_time,total_time,month_str,month,year,date,ingredient
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,bay
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,vegetable stock
3,Lentil soup,4.6,152.0,https://www.bbcgoodfood.com/recipes/lentil-soup,1.0,10.0,60.0,70.0,NA,0,0,0,litres
3,Lentil soup,4.6,152.0,https://www.bbcgoodfood.com/recipes/lentil-soup,1.0,10.0,60.0,70.0,NA,0,0,0,red lentils
3,Lentil soup,4.6,152.0,https://www.bbcgoodfood.com/recipes/lentil-soup,1.0,10.0,60.0,70.0,NA,0,0,0,carrots
3,Lentil soup,4.6,152.0,https://www.bbcgoodfood.com/recipes/lentil-soup,1.0,10.0,60.0,70.0,NA,0,0,0,medium leeks
3,Lentil soup,4.6,152.0,https://www.bbcgoodfood.com/recipes/lentil-soup,1.0,10.0,60.0,70.0,NA,0,0,0,small handful
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,large cauliflower
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,thyme sprigs
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,onion
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,celery stick
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,garlic clove
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,veg
4,Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,1.0,15.0,25.0,40.0,NA,0,0,0,single cream
5,Versatile veg soup,4.8,144.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,1.0,10.0,15.0,25.0,November,11,2008,2008-11-01 00:00:00,chopped vegetables
5,Versatile veg soup,4.8,144.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,1.0,10.0,15.0,25.0,November,11,2008,2008-11-01 00:00:00,celery
5,Versatile veg soup,4.8,144.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,1.0,10.0,15.0,25.0,November,11,2008,2008-11-01 00:00:00,potatoes
5,Versatile veg soup,4.8,144.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,1.0,10.0,15.0,25.0,November,11,2008,2008-11-01 00:00:00,stock
5,Versatile veg soup,4.8,144.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,1.0,10.0,15.0,25.0,November,11,2008,2008-11-01 00:00:00,crème fraîche
6,Butternut squash soup,4.8,753.0,https://www.bbcgoodfood.com/recipes/butternut-squash-soup-chilli-creme-fraiche,1.0,15.0,50.0,65.0,October,10,2009,2009-10-01 00:00:00,butter
6,Butternut squash soup,4.8,753.0,https://www.bbcgoodfood.com/recipes/butternut-squash-soup-chilli-creme-fraiche,1.0,15.0,50.0,65.0,October,10,2009,2009-10-01 00:00:00,onions
6,Butternut squash soup,4.8,753.0,https://www.bbcgoodfood.com/recipes/butternut-squash-soup-chilli-creme-fraiche,1.0,15.0,50.0,65.0,October,10,2009,2009-10-01 00:00:00,garlic clove
6,Butternut squash soup,4.8,753.0,https://www.bbcgoodfood.com/recipes/butternut-squash-soup-chilli-creme-fraiche,1.0,15.0,50.0,65.0,October,10,2009,2009-10-01 00:00:00,mild red chillies
6,Butternut squash soup,4.8,753.0,https://www.bbcgoodfood.com/recipes/butternut-squash-soup-chilli-creme-fraiche,1.0,15.0,50.0,65.0,October,10,2009,2009-10-01 00:00:00,vegetable stock
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,onions
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,garlic
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,butternut
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,red lentils
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,vegetable stock
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,coriander leaves
7,Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,1.0,10.0,40.0,50.0,September,9,2019,2019-09-01 00:00:00,dukkah
8,Carrot & coriander soup,4.7,734.0,https://www.bbcgoodfood.com/recipes/carrot-coriander-soup,1.0,15.0,25.0,40.0,August,8,2008,2008-08-01 00:00:00,onion
8,Carrot & coriander soup,4.7,734.0,https://www.bbcgoodfood.com/recipes/carrot-coriander-soup,1.0,15.0,25.0,40.0,August,8,2008,2008-08-01 00:00:00,potato
8,Carrot & coriander soup,4.7,734.0,https://www.bbcgoodfood.com/recipes/carrot-coriander-soup,1.0,15.0,25.0,40.0,August,8,2008,2008-08-01 00:00:00,carrots
8,Carrot & coriander soup,4.7,734.0,https://www.bbcgoodfood.com/recipes/carrot-coriander-soup,1.0,15.0,25.0,40.0,August,8,2008,2008-08-01 00:00:00,vegetable
8,Carrot & coriander soup,4.7,734.0,https://www.bbcgoodfood.com/recipes/carrot-coriander-soup,1.0,15.0,25.0,40.0,August,8,2008,2008-08-01 00:00:00,handful coriander
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,onion
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,stick celery
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,leek
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,medium potato
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,knob butter
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,low salt
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,head broccoli
9,Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,1.0,10.0,35.0,45.0,NA,0,0,0,stilton
10,"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,1.0,10.0,25.0,35.0,March,3,2010,2010-03-01 00:00:00,chilli flakes
10,"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,1.0,10.0,25.0,35.0,March,3,2010,2010-03-01 00:00:00,red onion
10,"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,1.0,10.0,25.0,35.0,March,3,2010,2010-03-01 00:00:00,split lentils
10,"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,1.0,10.0,25.0,35.0,March,3,2010,2010-03-01 00:00:00,vegetable stock
10,"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,1.0,10.0,25.0,35.0,March,3,2010,2010-03-01 00:00:00,tomatoes
10,"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,1.0,10.0,25.0,35.0,March,3,2010,2010-03-01 00:00:00,small bunch coriander
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,onion
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,celery stick
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,leek
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,medium potato
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,low salt
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,head broccoli
11,Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,1.0,5.0,30.0,35.0,NA,0,0,0,stilton
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,onion
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,red peppers
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,garlic clove
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,chilli
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,cans
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,vegetable stock
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,pork meatballs
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,baby spinach
12,Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,1.0,5.0,15.0,20.0,May,5,2020,2020-05-01 00:00:00,grated parmesan
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,carrots
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,large onion
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,vegetable stock
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,frozen mixed peas
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,pack fresh filled tortellini
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,handful
13,Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,1.0,5.0,25.0,30.0,March,3,2008,2008-03-01 00:00:00,grated parmesan
14,Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,1.0,15.0,35.0,50.0,September,9,2015,2015-09-01 00:00:00,sweet potatoes
14,Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,1.0,15.0,35.0,50.0,September,9,2015,2015-09-01 00:00:00,carrots
14,Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,1.0,15.0,35.0,50.0,September,9,2015,2015-09-01 00:00:00,onions
14,Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,1.0,15.0,35.0,50.0,September,9,2015,2015-09-01 00:00:00,garlic
14,Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,1.0,15.0,35.0,50.0,September,9,2015,2015-09-01 00:00:00,vegetable stock
14,Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,1.0,15.0,35.0,50.0,September,9,2015,2015-09-01 00:00:00,crème extra fraîche
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,butter
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,rashers
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,onion
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,medium potatoes
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,vegetable stock
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,single cream
15,"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,1.0,30.0,30.0,60.0,April,4,2006,2006-04-01 00:00:00,rashers streaky bacon
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,butter
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,potatoes
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,small onion
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,white parts
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,stock
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,carton whipping cream
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,white part
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,small knob
16,Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,1.0,20.0,25.0,45.0,March,3,2003,2003-03-01 00:00:00,chopped chives
17,"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,1.0,15.0,15.0,30.0,September,9,2011,2011-09-01 00:00:00,potato
17,"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,1.0,15.0,15.0,30.0,September,9,2011,2011-09-01 00:00:00,vegetable stock cubes
17,"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,1.0,15.0,15.0,30.0,September,9,2011,2011-09-01 00:00:00,kg courgettes
17,"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,1.0,15.0,15.0,30.0,September,9,2011,2011-09-01 00:00:00,sliced save
17,"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,1.0,15.0,15.0,30.0,September,9,2011,2011-09-01 00:00:00,mature cheddar
17,"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,1.0,15.0,15.0,30.0,September,9,2011,2011-09-01 00:00:00,good grating
18,Soup maker mushroom soup,4.6,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,1.0,5.0,30.0,35.0,NA,0,0,0,medium onions
18,Soup maker mushroom soup,4.6,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,1.0,5.0,30.0,35.0,NA,0,0,0,garlic clove
18,Soup maker mushroom soup,4.6,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,1.0,5.0,30.0,35.0,NA,0,0,0,mushrooms
18,Soup maker mushroom soup,4.6,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,1.0,5.0,30.0,35.0,NA,0,0,0,chicken stock
18,Soup maker mushroom soup,4.6,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,1.0,5.0,30.0,35.0,NA,0,0,0,small handful leaf parsley
19,Soup maker carrot and coriander soup,4.7,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-carrot-and-coriander-soup,1.0,5.0,30.0,35.0,NA,0,0,0,small onion
19,Soup maker carrot and coriander soup,4.7,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-carrot-and-coriander-soup,1.0,5.0,30.0,35.0,NA,0,0,0,small potato
19,Soup maker carrot and coriander soup,4.7,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-carrot-and-coriander-soup,1.0,5.0,30.0,35.0,NA,0,0,0,carrots
19,Soup maker carrot and coriander soup,4.7,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-carrot-and-coriander-soup,1.0,5.0,30.0,35.0,NA,0,0,0,vegetable
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,potatoes
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,small onion
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,large leek
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,light chicken
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,whipping cream
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,whole milk
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,small knob
20,Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,1.0,5.0,30.0,35.0,NA,0,0,0,chopped chives
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,large onion
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,garlic clove
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,vegetable stock
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,mixed beans
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,pepper cut
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,tortilla chips
21,Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,1.0,10.0,40.0,50.0,September,9,2015,2015-09-01 00:00:00,limes wedges
22,Pumpkin soup,4.6,226.0,https://www.bbcgoodfood.com/recipes/pumpkin-soup,1.0,20.0,25.0,45.0,October,10,2008,2008-10-01 00:00:00,onions
22,Pumpkin soup,4.6,226.0,https://www.bbcgoodfood.com/recipes/pumpkin-soup,1.0,20.0,25.0,45.0,October,10,2008,2008-10-01 00:00:00,kg pumpkin
22,Pumpkin soup,4.6,226.0,https://www.bbcgoodfood.com/recipes/pumpkin-soup,1.0,20.0,25.0,45.0,October,10,2008,2008-10-01 00:00:00,vegetable stock
22,Pumpkin soup,4.6,226.0,https://www.bbcgoodfood.com/recipes/pumpkin-soup,1.0,20.0,25.0,45.0,October,10,2008,2008-10-01 00:00:00,wholemeal seeded bread crusts
22,Pumpkin soup,4.6,226.0,https://www.bbcgoodfood.com/recipes/pumpkin-soup,1.0,20.0,25.0,45.0,October,10,2008,2008-10-01 00:00:00,handful pumpkin seeds
23,Chicken soup,4.5,215.0,https://www.bbcgoodfood.com/recipes/roast-chicken-soup,1.0,15.0,35.0,50.0,March,3,2009,2009-03-01 00:00:00,onions
