title,rating,no_of_ratings,url,author,servings,difficulty,prep_time,cook_time,total_time,year,month,ingredients,date
Sweet potato & lentil soup,4.7,343.0,https://www.bbcgoodfood.com/recipes/sweet-potato-lentil-soup,Good Food team,6.0,1.0,10.0,25.0,35.0,2009,11,"2 tsp medium curry powder, 3 tbsp olive oil, 2 onions grated, 1 eating apple peeled, cored and grated, 3 garlic cloves crushed, 20g pack coriander stalks chopped, thumb-size piece fresh root ginger grated, 800g sweet potatoes, 1.2l low-sodium vegetable stock, 100g red lentils, 300ml milk, juice 1 lime",2009-11-01 00:00:00
Cauliflower cheese soup,4.6,195.0,https://www.bbcgoodfood.com/recipes/cauliflower-cheese-soup,Good Food team,6.0,1.0,10.0,0.0,10.0,2006,11,"knob of butter, 1 large onion finely chopped, 1 large cauliflower (about 900g/2lb), leaves trimmed and cut into florets, 1 potato peeled and cut into chunks, 700ml vegetable stock (from a cube is fine), 400ml milk, 100g mature cheddar diced",2006-11-01 00:00:00
Butternut squash and red pepper soup,4.7,89.0,https://www.bbcgoodfood.com/recipes/red-pepper-squash-harissa-soup,Cassie Best,6.0,1.0,15.0,60.0,75.0,2019,1,"1 small butternut squash (about 600-700g), peeled and cut into chunks, 2 red pepper roughly chopped, 2 red onion roughly chopped, 3 tbsp rapeseed oil, 3 garlic cloves in their skins, 1 tbsp ground coriander, 2 tsp ground cumin, 1.2l chicken or  vegetable stock, 2 tbsp harissa paste, 50ml double cream",2019-01-01 00:00:00
Soup maker butternut squash soup,4.6,40.0,https://www.bbcgoodfood.com/recipes/soup-maker-butternut-squash-soup-chilli-and-creme-fraiche,Good Food team,2.0,1.0,10.0,60.0,70.0,0,0,"½ butternut squash (about 500g), peeled and chopped into 4cm cubes, ½ tbsp olive oil, 1 onion diced , 1 small garlic clove thinly sliced, 1 mild red chilli deseeded and finely chopped , 400ml vegetable stock, 2 tbsp crème fraîche plus more to serve",0
Spicy roasted parsnip soup,4.6,310.0,https://www.bbcgoodfood.com/recipes/spicy-roasted-parsnip-soup,Good Food team,4.0,1.0,10.0,35.0,45.0,2006,12,"2 tbsp olive oil, 1 tsp coriander seeds, 1 tsp cumin seeds plus extra to garnish, ½ tsp ground turmeric, ½ tsp mustard seeds, 1 large  onion cut into 8 chunks, 2 garlic cloves, 675g parsnips diced, 2 plum tomatoes quartered  , 1.2l vegetable stock, 1 tbsp lemon juice",2006-12-01 00:00:00
Easy soup maker lentil soup,4.7,18.0,https://www.bbcgoodfood.com/recipes/easy-soup-maker-lentil-soup,Good Food team,4.0,1.0,5.0,30.0,35.0,0,0,"750ml vegetable or ham stock, 75g red lentils, 3 carrots finely chopped , 1 medium leek sliced (150g) , small handful chopped parsley to serve",0
Chunky Minestrone soup,4.5,187.0,https://www.bbcgoodfood.com/recipes/chunky-minestrone-soup,Good Food team,4.0,1.0,10.0,30.0,40.0,2007,11,"3 large carrots roughly chopped , 1 large onion roughly chopped , 4 celery sticks, roughly chopped, 1 tbsp olive oil, 2 garlic cloves crushed, 2 large potatoes cut into small dice, 2 tbsp tomato purée, 2l vegetable stock, 400g can chopped tomatoes, 400g can butter or cannellini beans, 140g spaghetti snapped into short lengths, ½ head Savoy cabbage shredded, crusty bread to serve ",2007-11-01 00:00:00
Lentil & bacon soup,4.8,145.0,https://www.bbcgoodfood.com/recipes/lentil-bacon-soup,Caroline Hire – Food writer,3.0,1.0,5.0,30.0,35.0,0,0,"1 tbsp olive oil, 1 onion diced, 2 x 70g packs pancetta cubes, 1 carrot (about 120g), finely diced, 1 tsp ground cumin, ½ tsp turmeric, 2 garlic cloves finely chopped, 1 chilli sliced, 2 low-salt stock cubes, 250g red lentils rinsed",0
"Leek, pea & watercress soup",4.5,70.0,https://www.bbcgoodfood.com/recipes/leek-pea-watercress-soup,GF member Megan Bassett,4.0,1.0,10.0,22.0,32.0,2020,3,"1tbsp olive oil plus a drizzle to serve, 2 leeks finely sliced, 4 small garlic cloves crushed, hot veg stock, 80g watercress, 400g frozen peas, 1/2  lemon zested and juiced, parsley finely chopped, 1 tbsp crème fraîche or dairy-free crème fraîche, crusty bread to serve (optional)",2020-03-01 00:00:00
Pea & ham soup,4.8,128.0,https://www.bbcgoodfood.com/recipes/pea-ham-soup,Good Food team,4.0,1.0,10.0,15.0,25.0,0,0,"knob of butter, 1 onion chopped, 1 medium potato peeled and diced, 1l ham or pork stock (see 'Try', below), 500g frozen petit pois, 300g thickly sliced ham trimmed of any fat and diced",0
Italian vegetable soup,4.6,159.0,https://www.bbcgoodfood.com/recipes/italian-vegetable-soup,Good Food team,8.0,1.0,15.0,55.0,70.0,2011,2,"2 each of onions and carrots, chopped, 4 sticks celery chopped, 1 tbsp olive oil, 2 tbsp sugar, 4 garlic cloves crushed, 2 tbsp tomato purée, 2 bay leaves, few sprigs thyme, 3 courgettes chopped, 400g can butter beans drained, 400g can chopped tomatoes, 1.2l vegetable stock, 100g parmesan or vegetarian equivalent, grated, 140g small pasta shapes, small bunch basil shredded",2011-02-01 00:00:00
Asparagus soup,4.8,99.0,https://www.bbcgoodfood.com/recipes/asparagus-soup,Barney Desmazery,4.0,1.0,10.0,20.0,30.0,2013,5,"25g butter, a little  vegetable oil, 350g asparagus spear stalks chopped, woody ends discarded, tips reserved, 3 shallots finely sliced, 2 garlic cloves crushed, 2 large handfuls spinach, 700ml vegetable stock (fresh if possible), olive oil for drizzling (optional), rustic bread (preferably sourdough), to serve (optional)",2013-05-01 00:00:00
Soup maker tomato soup,4.2,36.0,https://www.bbcgoodfood.com/recipes/soup-maker-tomato-soup,Good Food team,2.0,1.0,5.0,30.0,35.0,0,0,"500g ripe tomatoes off the vine and quartered or halved, 1 small onion chopped , ½ small carrot chopped, ½ celery stick, chopped , 1 tsp tomato purée, pinch of sugar, 450ml vegetable stock",0
Thai pumpkin soup,4.8,172.0,https://www.bbcgoodfood.com/recipes/thai-pumpkin-soup,James Martin,6.0,1.0,25.0,40.0,65.0,2010,10,"1.5kg  pumpkin or squash, peeled and roughly chopped, 4 tsp sunflower oil, 1 onion sliced, 1 tbsp grated ginger, 1 lemongrass bashed a little, 3-4 tbsp  Thai red curry paste, 400ml can  coconut milk, 850ml vegetable stock, lime juice and sugar, for seasoning, 1 red chilli sliced, to serve (optional)",2010-10-01 00:00:00
Honeyed carrot soup,4.5,181.0,https://www.bbcgoodfood.com/recipes/honeyed-carrot-soup,Lesley Waters,6.0,1.0,10.0,35.0,45.0,2007,11,"2 tbsp butter, 2 small  leeks sliced, 800g carrots roughly chopped, 2 tsp  clear  honey, small pinch dried  chilli flakes (optional), 1  bay leaf, 2 ½l vegetable  stock, soured cream or  yogurt to serve",2007-11-01 00:00:00
Spinach soup,4.7,102.0,https://www.bbcgoodfood.com/recipes/spinach-soup,Caroline Hire – Food writer,4.0,1.0,10.0,25.0,35.0,0,0,"25g butter, 1 bunch spring onions chopped, 1 leek (about 120g), sliced, 2 small sticks celery (about 85g), sliced, 1 small potato (about 200g) , peeled and diced, ½ tsp ground black pepper, 1l stock (made with two chicken or vegetable stock cubes), 2 x 200-235g bags spinach, 150g half-fat crème fraîche",0
Red lentil soup,4.3,119.0,https://www.bbcgoodfood.com/recipes/red-lentil-carrot-soup,Sara Buenfeld,2.0,1.0,5.0,20.0,25.0,2015,2,"1 white onion finely sliced, 2 tsp olive oil, 3 garlic cloves sliced, 2 carrots scrubbed and diced, 85g red lentils, 1 vegetable stock cube, crumbled, generous sprigs parsley chopped (about 2 tbsp) plus a few extra leaves",2015-02-01 00:00:00
Thai chicken and sweet potato soup,4.9,151.0,https://www.bbcgoodfood.com/recipes/thai-chicken-and-sweet-potato-soup,Caroline Hire – Food writer,2.0,1.0,5.0,30.0,35.0,0,0,"1 tsp olive or rapeseed oil, 2 garlic cloves chopped, 1 red chilli deseeded and chopped, 2cm chunk root ginger chopped, 1 stalk lemongrass bashed, 1 x 25g pack coriander leaves and stalks chopped separately, 2 tbsp red Thai curry paste, 750ml chicken stock (made with 2 stock cubes), 1 small can (160ml) coconut cream, 500g sweet potato peeled and roughly chopped, 2 skinless chicken breasts sliced, 1 lime juice only, 1 tsp sugar, ½ tsp fish sauce, crusty bread to serve (optional)",0
"Roasted red pepper, sweet potato & smoked paprika soup",4.6,110.0,https://www.bbcgoodfood.com/recipes/roasted-red-pepper-sweet-potato-smoked-paprika-soup,Emma Freud,2.0,1.0,10.0,30.0,40.0,2018,2,"1 sweet potato roughly chopped into dice with the skin still on, 1 red pepper de-seeded and cut into chunks, 1 red onion peeled and cut into chunks, 3 garlic cloves peeled, 1 tsp smoked paprika, 2 tbsp olive oil, 200ml coconut milk, 200ml chicken stock, ½ tbsp sriracha, 1 tsp maple syrup",2018-02-01 00:00:00
App onlyGreen soup with crispy chorizo. This is a premium piece of content available to registered users.,,35.0,https://www.bbcgoodfood.com/premium/green-soup-with-crispy-chorizo,Esther Clark,4.0,1.0,10.0,30.0,40.0,0,0,"2 tbsp olive oil plus extra to serve, 1 onion finely chopped, 1 garlic clove crushed, 500g potatoes peeled and chopped, 1½ litres vegetable stock, 250g spinach, 120g kale, 50ml double cream plus extra for drizzling, ½ lemon juiced, 100g chorizo finely chopped",0
"Leek, butter bean & crispy chorizo soup",4.7,61.0,https://www.bbcgoodfood.com/recipes/leek-butter-bean-crispy-chorizo-soup,Esther Clark,6.0,1.0,10.0,30.0,40.0,2018,12,"30g unsalted butter, olive oil for frying, 2 large leeks sliced, 1 large garlic clove crushed, 2 x 400g cans butter beans drained and rinsed, 800ml hot chicken or vegetable stock, 4 tbsp crème fraîche plus extra to serve, 225g chorizo finely cubed, 4 rosemary sprigs leaves picked and finely chopped, bread to serve",2018-12-01 00:00:00
Creamy tomato soup,4.7,93.0,https://www.bbcgoodfood.com/recipes/creamy-tomato-soup,Sarah Cook,6.0,1.0,30.0,45.0,75.0,2012,11,"3 tbsp olive oil, 2 onions chopped, 2 celery sticks, chopped, 300g carrot chopped, 500g potato diced, 4 bay leaves, 5 tbsp tomato purée, 2 tbsp sugar, 2 tbsp red or white wine vinegar, 4 x 400g cans chopped tomatoes, 500g passata, 3 vegetable stock cubes, 400ml whole milk",2012-11-01 00:00:00
Herby broccoli & pea soup,4.4,49.0,https://www.bbcgoodfood.com/recipes/herby-broccoli-pea-soup,Esther Clark,4.0,1.0,10.0,30.0,40.0,2019,9,"1 tbsp rapeseed oil, 1 onion finely chopped, 1 large garlic clove crushed, 400g broccoli chopped into small florets, 300g frozen peas, 200g chard chopped, 1l low-salt veg stock, ½ small bunch of basil chopped, small bunch of dill chopped, 1 lemon zested and juiced, 2 tbsp pumpkin seeds toasted",2019-09-01 00:00:00
Creamy mushroom soup,4.8,112.0,https://www.bbcgoodfood.com/recipes/creamy-mushroom-soup,Barney Desmazery,4.0,1.0,30.0,40.0,70.0,2007,10,"25g dried porcini (ceps), 50g butter, 1 onion finely chopped, 1 garlic clove sliced, thyme sprigs, 400g mixed wild mushrooms, 850ml vegetable stock, 200ml tub crème fraîche, 4 slices white bread about 100g, cubed , chives and truffle oil, to serve",2007-10-01 00:00:00
Chorizo & chickpea soup,4.7,142.0,https://www.bbcgoodfood.com/recipes/chorizo-chickpea-soup,Good Food team,2.0,1.0,5.0,10.0,15.0,2006,10,"400g can chopped tomato, 110g pack of  chorizo sausage (unsliced), 140g wedge Savoy cabbage, sprinkling dried chilli flakes, 410g can chickpea drained and rinsed, 1 chicken or vegetable stock cube, crusty bread or garlic bread, to serve",2006-10-01 00:00:00
Pumpkin & bacon soup,4.9,41.0,https://www.bbcgoodfood.com/recipes/pumpkin-bacon-soup,Tom Kerridge,4.0,1.0,10.0,70.0,80.0,2016,10,"1 tbsp vegetable oil, 50g butter, 1 onion finely chopped, 150g maple-cured bacon cut into small pieces, ½ Crown Prince pumpkin or onion squash, peeled, deseeded and cut into medium chunks (you need about 500g pumpkin flesh), 1l chicken stock, 100ml double cream, 3 tbsp pumpkin seeds toasted, maple syrup for drizzling",2016-10-01 00:00:00
Pea & mint soup,4.7,111.0,https://www.bbcgoodfood.com/recipes/pea-mint-soup,Maxine Clark,4.0,1.0,10.0,20.0,30.0,2004,5,"1 bunch spring onions trimmed and roughly chopped, 1 medium potato peeled and diced, 1 garlic clove crushed, 850ml vegetable or chicken stock, 900g young pea in the pod (to give about 250g/9oz shelled peas), 4tbsp chopped fresh mint, large pinch caster sugar, 1 tbsp fresh lemon or lime juice, 150ml buttermilk or soured cream",2004-05-01 00:00:00
App onlyNext level tomato soup. This is a premium piece of content available to registered users.,,20.0,https://www.bbcgoodfood.com/premium/next-level-tomato-soup,Barney Desmazery,6.0,2.0,30.0,90.0,120.0,2022,9,"1.2kg ripe tomatoes of your choice (we like plum), halved, 6 garlic cloves sliced, ½ red chilli sliced (optional), 30g golden caster sugar, 1 tsp dried oregano, 100ml red wine vinegar, 100ml olive oil, 1 large bunch of basil, 2 onions sliced, 200g white bread sourdough or another whole loaf (slightly stale bread works well), crusts trimmed away, 2 tbsp olive oil, 10g parmesan or vegetarian alternative, finely grated (optional)",2022-09-01 00:00:00
Easy soup maker roast chicken soup,4.4,23.0,https://www.bbcgoodfood.com/recipes/easy-soup-maker-roast-chicken-soup,Good Food team,2.0,1.0,5.0,30.0,35.0,0,0,"1 onion chopped , 1 large carrot chopped , ½ tbsp thyme leaves, roughly chopped , 700ml chicken stock, 100g frozen peas, 150g leftover roast chicken shredded and skin removed , 1½ tbsp Greek yogurt, ½ small garlic clove crushed , squeeze lemon juice",0
"Courgette, pea & pesto soup",4.7,106.0,https://www.bbcgoodfood.com/recipes/courgette-pea-pesto-soup,Good Food team,4.0,1.0,10.0,15.0,25.0,2011,11,"1 tbsp olive oil, 1 garlic clove sliced, 500g courgettes quartered lengthways and chopped, 200g frozen peas, 400g can cannellini beans drained and rinsed, 1l hot vegetable stock, 2 tbsp basil pesto or vegetarian alternative",2011-11-01 00:00:00
Soup maker pea & ham soup,4.5,19.0,https://www.bbcgoodfood.com/recipes/soup-maker-pea-ham-soup,Good Food team,4.0,1.0,5.0,30.0,35.0,0,0,"1 onion chopped , 1 medium potato peeled and diced , 1litre ham or pork stock, 500g frozen petit pois, 300g thickly sliced ham trimmed of any fat and diced",0
Soup maker vegetable soup,4.4,18.0,https://www.bbcgoodfood.com/recipes/soup-maker-vegetable-soup,Good Food team,2.0,1.0,5.0,30.0,35.0,0,0,"200g vegetables such as onions, celery and carrots, chopped, 300g potato peeled and chopped, 700ml vegetable stock, crème fraîche and fresh herbs, to serve",0
Chicken & sweetcorn soup,4.2,22.0,https://www.bbcgoodfood.com/recipes/chicken-sweetcorn-soup,Sara Buenfeld,2.0,1.0,10.0,135.0,145.0,2018,2,"1 chicken carcass, 4 thin slices fresh ginger plus 1 tbsp finely grated, 2 onions quartered, 3 garlic cloves finely grated, 2 tsp apple cider vinegar, 325g can sweetcorn, 3 spring onions whites thinly sliced, greens sliced at an angle, 100g cooked chicken shredded, 2 tsp tamari, 2 eggs beaten, few drops sesame oil to serve (optional)",2018-02-01 00:00:00
Sweet potato and coconut soup,4.8,111.0,https://www.bbcgoodfood.com/recipes/speedy-sweet-potato-soup-coconut,Good Food team,4.0,1.0,10.0,10.0,20.0,2008,5,"1 tbsp vegetable oil, 1 onion chopped, 1-2 tsp Thai curry paste red or green, 750g sweet potatoes grated, 1 litre vegetable stock, half sachet creamed coconut or ¼ can reduced-fat coconut milk, handful coriander roughly chopped, mini naan bread to serve",2008-05-01 00:00:00
Creamy pumpkin & lentil soup,4.6,84.0,https://www.bbcgoodfood.com/recipes/creamy-pumpkin-lentil-soup,Sara Buenfeld,4.0,1.0,15.0,35.0,50.0,2013,10,"1 tbsp olive oil plus 1 tsp, 2 onions chopped, 2 garlic cloves chopped, approx 800g chopped pumpkin flesh, plus the seeds, 100g split red lentil, ½ small pack thyme leaves picked, plus extra to serve, 1l hot vegetable stock, pinch of salt and sugar, 50g crème fraîche plus extra to serve",2013-10-01 00:00:00
"Italian borlotti bean, pumpkin & farro soup",4.7,36.0,https://www.bbcgoodfood.com/recipes/italian-borlotti-bean-pumpkin-farro-soup,Diana Henry,6.0,1.0,15.0,35.0,50.0,2019,2,"4 tbsp extra virgin olive oil plus extra to serve, 1 onion finely chopped, 1 celery stick cut into chunks, 750g pumpkin or squash, peeled, deseeded and cut into small chunks, 1 carrot peeled and cut into chunks, 3 garlic cloves chopped, 3 tbsp tomato purée, 1.2l chicken stock or vegetable stock, 75g farro or mixed grains (such as barley or spelt), 50-80g parmesan rinds or vegetarian alternative (optional), plus a few shavings to serve, 400g can  borlotti beans drained, 2 handfuls baby spinach, 2 tbsp chopped parsley or 8 whole sage leaves",2019-02-01 00:00:00
